refinebio_accession_code,experiment_accession,score_age,score_sex,score_patient,score_stage,score_tissue,score_metastasis,score_histology,score_cell_line_col,score_cell_line_text,score_primary_human_text,net_score,primary_score,cell_line_score,score_cancer_cols,score_cancer_text
GSM1019241,GSE37745,1,1,0,1,0,0,1,0,0,5,9,9,0,3,1
GSM1030127,GSE41998,1,1,0,0,0,0,0,0,0,5,7,7,0,0,5
GSM1037347,GSE42296,0,0,0,1,0,0,0,0,0,1,2,2,0,1,0
GSM1049106,GSE42743,0,1,0,1,0,0,0,0,0,2,4,4,0,1,1
GSM1224700,GSE50614,0,0,1,0,0,0,1,0,0,7,9,9,0,1,0
GSM1379817,GSE57338,1,1,0,0,1,0,0,0,0,0,3,3,0,0,0
GSM1379857,GSE57338,1,1,0,0,1,0,0,0,0,0,3,3,0,0,0
GSM1380021,GSE57338,1,1,0,0,1,0,0,0,0,0,3,3,0,0,0
GSM1587074,GSE65095,1,0,0,1,0,0,1,0,0,3,6,6,0,3,2
GSM1672485,GSE68465,1,1,0,1,0,0,1,0,0,2,6,6,0,2,2
GSM1672691,GSE68465,1,1,0,1,0,0,1,0,0,2,6,6,0,2,2
GSM1673712,GSE68387,0,0,0,0,1,0,0,0,0,1,2,2,0,0,0
GSM1831480,GSE71258,0,0,1,0,1,0,0,0,0,1,3,3,0,0,3
GSM1898147,GSE73578,1,1,0,0,0,0,0,0,0,6,8,8,0,0,3
GSM1898215,GSE73578,1,1,0,0,0,0,0,0,0,6,8,8,0,0,3
GSM2770815,GSE103412,0,0,1,1,1,0,0,0,0,7,10,10,0,1,7
GSM2858725,GSE106977,0,0,0,0,1,0,0,0,0,4,5,5,0,0,1
GSM2872788,GSE107624,1,1,0,0,0,0,0,0,0,1,3,3,0,0,0
GSM3184086,GSE115577,1,0,0,1,0,0,0,0,0,2,4,4,0,2,2
GSM3184128,GSE115577,1,0,0,1,0,0,0,0,0,2,4,4,0,2,2
GSM3289744,GSE117239,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
GSM423081,GSE16879,0,0,0,0,1,0,0,0,0,3,4,4,0,0,0
GSM467596,GSE18864,1,0,0,1,0,0,0,0,0,1,3,3,0,1,6
GSM478546,GSE19285,1,1,0,0,0,0,0,0,0,1,3,3,0,0,0
GSM540366,GSE21653,1,0,0,1,1,0,1,0,0,3,7,7,0,2,2
GSM578801,GSE23597,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0
GSM585300,GSE23720,0,0,0,0,0,0,0,0,0,4,4,4,0,0,4
GSM585317,GSE23720,0,0,0,0,0,0,0,0,0,4,4,4,0,0,4
GSM601795,GSE24427,1,1,0,0,0,0,0,0,0,1,3,3,0,0,0
GSM655614,GSE26637,0,1,0,0,1,0,0,0,0,1,3,3,0,0,0
GSM773704,GSE31210,1,1,0,1,1,0,0,0,0,1,5,5,0,1,1
GSM773732,GSE31210,1,1,0,1,1,0,0,0,0,1,5,5,0,1,1
GSM781456,GSE31448,1,0,0,1,1,0,1,0,0,5,9,9,0,2,5
GSM782551,GSE31519,0,0,0,1,1,0,0,0,0,3,5,5,0,2,0
GSM790028,GSE31852,0,0,0,0,0,0,0,0,0,5,5,5,0,0,1
