series,title,summary,overall_design,relation,n_samples,platform_id,is_superseries
GSE14764,A Prognostic Gene Expression Index in Ovarian Cancer,"Ovarian carcinoma has the highest mortality rate among gynecological malignancies. In this project, we investigated the hypothesis that molecular markers are able to predict outcome of ovarian cancer independently of classical clinical predictors, and that these molecular markers can be validated using independent data sets.   We applied a semi-supervised method for prediction of patient survival. Microarrays from a cohort of 80 ovarian carcinomas (TOC cohort) were used for the development of a predictive model, which was then evaluated in an entirely independent cohort of 118 carcinomas (Duke cohort).  A 300 gene ovarian prognostic index (OPI) was generated and validated in a leave-one-out approach in the TOC cohort (Kaplan-Meier analysis, p=0.0087). In a second validation step the prognostic power of the OPI was confirmed in an independent data set (Duke cohort, p=0.0063). In multivariate analysis, the OPI was independent of the postoperative residual tumour, the main clinico-pathological prognostic parameter with an adjusted hazard ratio of 6.4 (TOC cohort, CI 1.8 – 23.5, p=0.0049) and 1.9 (Duke cohort, CI 1.2 – 3.0, p=0.0068). We constructed a combined score of molecular data (OPI) and clinical parameters (residual tumour), which was able to define patient groups with highly significant differences in survival.  The integrated analysis of gene expression data as well as residual tumour can be used for optimised assessment of prognosis. As traditional treatment options are limited, this analysis may be able to optimise clinical management and to identify those patients that would be candidates for new therapeutic strategies.

Keywords: disease state analysis",RNA from 80 frozen ovarian cancer samples was analysed with oligonucleotide microarrays,,80,GPL96,0
GSE23554,Ovarian Cancer Dataset,"Background. Genome-wide expression changes are associated with development of chemoresistance in patients with ovarian cancer (OVCA); the BCL2 antagonist of cell death (BAD) apoptosis pathway may play a role in clinical outcome.
Methods.  We analyzed specimens and/or genomic data from 1,406 patients and 116 cancer cell lines.  Genome-wide expression changes and cisplatin-resistance were evaluated in OVCA cell lines subjected to a total of 144 (cisplatin)-treatment/recovery cycles. Pathway analysis was performed on genes associated with increasing cisplatin-resistance.  BAD protein phosphorylation was studied in patient samples and cell lines, and small interfering RNAs (siRNA) used to explore the pathway as a therapeutic target. We evaluated the influence of BAD-pathway expression on chemosensitivity and/or clinical outcome using genomic data from 60 human cancer cell lines and ovarian, breast, colon, and brain cancers from 1,258 patients.
Results.  The BAD pathway was associated with evolution of OVCA cell line cisplatin-resistance (P<0.001) and resistance of 7 human cancer cell types to 8 cytotoxic agents (P<0.05).  OVCA chemoresistance was associated with BAD protein phosphorylation, and targeted siRNA modulation produced corresponding changes in chemosensitivity. Expression of a 47-gene BAD-pathway signature was associated with survival of 1,258 patients with ovarian, breast, colon, and brain cancer.  The OVCA BAD-pathway signature survival advantage was independent of surgical cytoreductive status.
Conclusions.  The BAD apoptosis pathway influences the sensitivity of human cancers to a variety of chemotherapies, likely via modulation of BAD-phosphorylation.  The pathway has clinical relevance as a potential biomarker of therapeutic response, patient survival, and as a promising therapeutic target.",Twenty-eight (28) advanced-stage serous epithelial ovarian cancers were resected at the time of primary surgery from patients who would receive platinum-based therapy. The tumors were arrayed on Affymetrix HG-U133A GeneChips. The samples were analyzed with respect to the BAD pathway for correlation to overall survival and cisplatin response.,SubSeries of: GSE23603,28,GPL96,0
GSE23720,High-resolution comparative genomic hybridization of inflammatory breast cancer and identification of candidate genes,"Inflammatory breast cancer (IBC) is an aggressive form of BC poorly defined at the molecular level. We compared the molecular portraits of 63 IBC and 134 non-IBC (nIBC) clinical samples. Genomic imbalances of 49 IBCs and 124 nIBCs were determined using high-resolution array-comparative genomic hybridization, and mRNA expression profiles of 197 samples using whole-genome microarrays. Genomic profiles of IBCs were as heterogeneous as those of nIBCs, and globally relatively close. However, IBCs showed more frequent “complex” patterns and a higher percentage of genes with CNAs per sample. The number of altered regions was similar in both types, although some regions were altered more frequently and/or with higher amplitude in IBCs. Many genes were similarly altered in both types; however, more genes displayed recurrent amplifications in IBCs.","Pre-treatment tumor tissues were collected from 197 patients with invasive adenocarcinomas. Patients underwent surgical biopsies or initial surgery at the Institut Paoli-Calmettes (IPC, Marseille, France) between 1987 and 2007. Each patient gave written informed consent and the study was approved by the IPC “Comité d’Orientation Stratégique”. Tumor samples were macrodissected and frozen in liquid nitrogen within 30 minutes of removal. Before RNA extraction, tumor sections were reviewed by two pathologists and contained more than 60% of tumor cells. Gene expression data of the 197 BCs were quantified using whole-genome DNA microarrays (HG-U133 Plus 2.0, Affymetrix).",,370,"GPL570
GPL9128",0
GSE31448,"Down-regulation of ECRG4, a candidate tumor suppressor gene  in human breast cancer","ECRG4 is a promising tumor suppressor gene (TSG) recently identified in esophageal carcinoma. Its expression and prognostic value have never been explored in breast cancer. Using DNA microarray,  we examined ECRG4 mRNA expression in 353 invasive breast cancer samples. A meta-analysis was performed on a large public retrospective gene expression dataset (n=1,387) to analyze correlation between ECRG4 expression and histo-clinical features including survival.","To determine ECRG4 mRNA expression in breast cancer and normal breast, we first analyzed gene expression data generated by our laboratory (Institut Paoli Calmettes (IPC), Marseille, France) from cancer and normal mammary samples. Tumor tissues were from 353 patients with invasive adenocarcinoma who underwent initial surgery at IPC between 1987 and 2007. The study was approved by our institutional review board. Each patient gave a written informed consent for research use. Samples were macrodissected and frozen in liquid nitrogen within 30 min of surgical removal. All profiled specimens contained more than 60% of cancer cells (as assessed before RNA extraction using frozen sections adjacent to the profiled samples). After surgery, patients received an adjuvant multimodal treatment according to standard guidelines. Extraction of nucleic acids from frozen samples was done by using guanidium isothiocynanate and cesium chloride gradient. Expression profiles had been established for these 353 cancers pools with Affymetrix U133 Plus 2.0 human microarrays (Affymetrix®, Santa Clara, CA, USA).",,357,GPL570,0
GSE41998,Biomarker analysis of neoadjuvant Doxorubicin/Cyclophosphamide followed by Ixabepilone or Paclitaxel in early-stage breast cancer,"A randomized, open-label, multicenter, phase II trial (NCT00455533) enrolled previously untreated women with histologically-confirmed primary invasive breast adenocarcinoma (T2–3, N0–3, M0, tumor size ≥2.0 cm), regardless of hormone receptor or HER2 expression status. Patients received sequential neoadjuvant therapy starting with 4 cycles of AC (doxorubicin 60 mg/m2 intravenously and cyclophosphamide 600 mg/m2 intravenously) given every 3 weeks, followed by 1:1 randomization to either ixabepilone (40 mg/m2 3-hour infusion) every 3 weeks for 4 cycles, or paclitaxel (80 mg/m2 1-hour infusion) weekly for 12 weeks.
Fresh tumor biopsies at screening were a mandatory prerequisite for study entry for biomarker analyses. Gene expression profiling was performed by Affymetrix GeneChip to determine if pre-specified gene models could distinguish between the clinical activity of two microtubule stabilizing agents, ixabepilone and paclitaxel.","Three core needle tumor tissue biopsies were obtained from all subjects before neoadjuvant therapy with AC and immediately combined in RNAlater® solution for subsequent RNA extraction, cRNA labeling and gene expression profiling.  Pre-specified gene models were tested for their capacity to distinguish pathologic complete response rates between the AC followed by ixabepilone versus the AC followed by paclitaxel treatment regimens.
All samples were collected prior to treatment.  All subject received cyclophosphamide/doxorubicin (AC) prior to randomization to either Ixabepilone or Paclitaxel.",,279,GPL571,0
GSE42363,Exome and whole genome sequencing of esophageal adenocarcinoma identifies recurrent driver events and mutational complexity,"The incidence of esophageal adenocarcinoma (EAC) has risen 600% over the last 30 years.  With an extremely poor five-year survival rate of only 15%, identification of new therapeutic targets for EAC is of great importance. Here, we analyze the mutation spectra from the whole exome sequencing of 149 EAC tumors/normal pairs, 15 of which have also been subjected to whole genome sequencing. We identify a novel mutational signature in EACs defined by a high prevalence of A to C transversions at Ap*A dinucleotides. Statistical analysis of the exome data identified 26 genes that are mutated at a significant frequency. Of these 26 genes, only four (TP53, CDKN2A, SMAD4, and PIK3CA) have been previously implicated in EAC. The novel significantly mutated genes include several chromatin modifying factors and candidate contributors to EAC: SPG20, TLR4, ELMO1, and DOCK2.   Notably, functional analyses of EAC-derived mutations in ELMO1 increase cellular invasion. Therefore, we suggest a new hypothesis about the potential activation of the RAC1 pathway to be a contributor to EAC tumorigenesis.","The study aimed to analyze 150 primary, human esophageal adenocarcinoma samples by whole genome and whole exome sequencing (which will be deposited to dbGAP following the TCGA practice).  RNA expression data was used to determine gene expression in 14 of the samples analyzed by whole genome sequencing. No normals were analyzed.",,14,GPL570,0
GSE62080,"Gene expression signature in advanced colorectal cancer patients select drugs and response for the use of leucovorin, fluorouracil, and irinotecan","In patients with advanced colorectal cancer, leucovorin, fluorouracil, and irinotecan (FOLFIRI) is considered as one of the reference first-line treatments. However, only about half of treated patients respond to this regimen, and there is no clinically useful marker that predicts response. A major clinical challenge is to identify the subset of patients who could benefit from this chemotherapy. We aimed to identify a gene expression profile in primary colon cancer tissue that could predict chemotherapy response.  Patients and Methods:- Tumor colon samples from 21 patients with advanced colorectal cancer were analyzed for gene expression profiling using Human Genome GeneChip arrays U133. At the end of the first-line treatment, the best observed response, according to WHO criteria, was used to define the responders and nonresponders. Discriminatory genes were first selected by the significance analysis of microarrays algorithm and the area under the receiver operating characteristic curve. A predictor classifier was then constructed using support vector machines. Finally, leave-one-out cross validation was used to estimate the performance and the accuracy of the output class prediction rule. Results:- We determined a set of 14 predictor genes of response to FOLFIRI. Nine of nine responders (100% specificity) and 11 of 12 nonresponders (92% sensitivity) were classified correctly, for an overall accuracy of 95%. Conclusion:- After validation in an independent cohort of patients, our gene signature could be used as a decision tool to assist oncologists in selecting colorectal cancer patients who could benefit from FOLFIRI chemotherapy, both in the adjuvant and the first-line metastatic setting.","All tissue samples were maintained at −180°C (liquid nitrogen) until RNA extraction and were weighed before homogenization. Tissue samples were then disrupted directly into a lysis buffer using Mixer Mill MM 300 (Qiagen, Valencia, CA). Total RNA was isolated from tissue lysates using the RNeasy Mini Kit (Qiagen), and additional DNAse digestion was performed on all samples during the extraction process (RNase-Free DNase Set Protocol for DNase treatment on RNeasy Mini Spin Columns; Qiagen). After each extraction, a small fraction of the total RNA preparation was taken to determine the quality of the sample and the yield of total RNA. Controls analyses were performed by UV spectroscopy and analysis of total RNA profile using the Agilent RNA 6000 Nano LabChip Kit with the Agilent 2100 Bioanalyser (Agilent Technologies, Palo Alto, CA) to determine RNA purity, quantity, and integrity.",,21,GPL570,0
GSE63885,Gene expression profiling in ovarian cancer,"The introduction of microarray techniques to cancer research brought great expectations for finding biomarkers that would improve patients’ treatment; however, the results of such studies are poorly reproducible and critical analyses of these methods are rare. In this study, we examined global gene expression in 97 ovarian cancer samples. Also, validation of results by quantitative RT-PCR was performed on 30 additional ovarian cancer samples. We carried out a number of systematic analyses in relation to several defined clinicopathological features. The main goal of our study was to delineate the molecular background of ovarian cancer chemoresistance and find biomarkers suitable for prediction of patients’ prognosis. We found that histological tumor type was the major source of variability in genes expression, except for serous and undifferentiated tumors that showed nearly identical profiles. Analysis of clinical endpoints [tumor response to chemotherapy, overall survival, disease-free survival (DFS)] brought results that were not confirmed by validation either on the same group or on the independent group of patients. CLASP1 was the only gene that was found to be important for DFS in the independent group, whereas in the preceding experiments it showed associations with other clinical endpoints and with BRCA1 gene mutation; thus, it may be worthy of further testing. Our results confirm that histological tumor type may be a strong confounding factor and we conclude that gene expression studies of ovarian carcinomas should be performed on histologically homogeneous groups. Among the reasons of poor reproducibility of statistical results may be the fact that despite relatively large patients’ group, in some analyses one has to compare small and unequal classes of samples. In addition, arbitrarily performed division of samples into classes compared may not always reflect their true biological diversity. And finally, we think that clinical endpoints of the tumor probably depend on subtle changes in many and, possibly, alternative molecular pathways, and such changes may be difficult to demonstrate.","Here, we provide gene expression data from 101 ovarian cancer surgical samples: 73 serous, 12 endometrioid, 9 clear cell and 7 undifferentiated.   The majority of patients (98 out of 101) were tested for BRCA1 gene mutation: 27 patients had germline BRCA1 gene mutation, one had somatic mutation, 70 had no BRCA1 mutation detected.   We also checked for somatic TP53 gene mutation: 75 tumors had somatic mutation in TP53, 15 had no mutation detected, 11 were not analyzed (NA). The p53 protein accumulation in the cancer cells was analyzed by immunohistochemistry: 54 tumors had protein accumulation, 42 had no accumulation, 5 - NA.   For 75 samples we provide extensive pathological and clinical data: tumor grade, histological type, FIGO stage, disease free survival time (DFS), overall survival (OS), residual tumor size (R), clinical status post first-line chemotherapy and at last follow-up, platinum sensitivity. The tumors were graded in a four-grade scale, according to the criteria given in [1].   The results of data analyses were published in [2].   [1] HRK Barber, SC Sommers, R Snyder, TH Kivon; Histologic and nuclear grading and stromal reaction as indices for prognosis in ovarian cancer. Am. J. Obstet. Gynecol, 121 (1975), p. 795-807  [2] K. Lisowska, M. Olbryt, V. Dudaladava, J. Pamuła-Piłat, K. Kujawa, E. Grzybowska, M. Jarząb, S. Student, I. K. Rzepecka, B. Jarząb J. Kupryjańczyk (2014) Gene expression analysis in ovarian cancer – faults and hints from DNA microarray study.",,101,GPL570,0
GSE92697,caArray_vince-00013: Integrated Genomics and Transcriptomic Analyses of Ductal Carcinoma In situ of the Breast,"Purpose: To gain insight into genomic and trancriptomic subtypes of ductal carcinomas in situ of the breast (DCIS).
Results: Thirty-two DCIS exhibited a luminal phenotype; 21were ERBB2 positive, and 4 were ERBB2/estrogen receptor (ER) negativewith1harboring a bona fide basal-like phenotype.Based on a CGHanalysis, genomic types were identified in this series of DCISwith the 1q gain/16q loss combination observed in 3 luminal DCIS, themixed amplifier pattern including all ERBB2,12 luminal and 1ERBB2/ER- DCIS, and the complex copy number alteration profile encompassing 14 luminal and 1ERBB2/ER- DCIS. Eight cases (8 of 57; 14%) presented aTP53 mutation, all being amplifiers. Unsupervised analysis of gene expression profiles of 26 of the 57 DCIS showed that luminal and ERBB2-amplified, ER-negative cases clustered separately.We further investigated the effect of high and low copy number changes on gene expression. Strikingly, amplicons but also low copy number changes especially on 1q, 8q, and 16q in DCIS regulated the expression of a subset of genes in a very similar way to that recently described in invasive ductal carcinomas.
Conclusions: These combined approaches show that the molecular heterogeneity of breast ductal carcinomas exists already in in situ lesions and further indicate that DCIS and invasive ductal carcinomas share genomic alterations with a similar effect on  gene expression profile.","Experimental Design: We did a combined phenotypic and genomic analysis of a series of 57 DCIS integrated with gene expression profile analysis for 26 of the 57 cases.
vince-00013
Assay Type: Gene Expression
Provider: Affymetrix
Array Designs: HG-U133A
Organism: Homo sapiens (ncbitax)
Tissue Sites: Breast, Breast
Material Types: cDNA, genomic_DNA, total_RNA
Cell Types: Ductal carcinoma in situ
Disease States: Breast Carcinoma",,26,GPL96,0
GSE50948,Expression Data from transNOAH breast cancer trial,"These data can be used for evaluation of the clinical utility of the research-based PAM50 subtype predictor in predicting pathological complete response (pCR) and event-free survival (EFS) in women enrolled in the NeOAdjuvant Herceptin (NOAH) trial.
The NeOAdjuvant Herceptin [NOAH] trial demonstrated that trastuzumab significantly improves pCR rates and 3-year event-free survival (EFS) in combination with neoadjuvant chemotherapy compared with neoadjuvant chemotherapy alone in patients with HER2+ breast cancer.","Gene expression profiling was performed using RNA from formalin-fixed paraffin-embedded core biopsies from 114 pre-treated patients with HER2-positive (HER2+) tumors randomized to receive neoadjuvant doxorubicin/paclitaxel (AT) followed by cyclophosphamide/methotrexate/fluorouracil (CMF), or the same regimen in combination with trastuzumab for 1 year. A control cohort of 42 patients with HER2-negative tumors treated with AT-CMF was also included.

This dataset represents 156 patients who had provided the samples at baseline (pre-treatment).",,156,GPL570,0
